accountsservice 23.13.9-2.1
aichat 0.30.0-2.1
alacritty 0.16.1-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.15.2-1.1
ark 25.12.1-1.1
atuin 18.11.0-1.1
awesome-terminal-fonts 1.1.0-5
aws-cli-v2 2.32.32-1
base 3-2
base-devel 1-2
bash-completion 2.17.0-3
bind 9.20.18-1.1
bluedevil 1:6.5.5-1.1
bluez 5.85-1.1
bluez-hid2hci 5.85-1.1
bluez-libs 5.85-1.1
bluez-utils 5.85-1.1
breeze-gtk 6.5.5-1
btop 1.4.6-1.1
btrfs-assistant 2.2-4.1
btrfs-progs 6.17.1-2
cachyos-emerald-kde-theme-git r25.d61d1dd-1
cachyos-fish-config 15-1
cachyos-gaming-applications 1.0.0-2
cachyos-gaming-meta 1:1.0.0-6
cachyos-hello 0.19.1-2
cachyos-hooks 2025.09.22-1
cachyos-iridescent-kde r2.16aa352-1
cachyos-kde-settings 4.9-8
cachyos-kernel-manager 1.16.1-1.1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 22-1
cachyos-nord-kde-theme-git r16.d75759c-1
cachyos-packageinstaller 1.5.1-2
cachyos-plymouth-bootanimation 2-1
cachyos-rate-mirrors 18-1
cachyos-settings 1:1.3.0-1
cachyos-themes-sddm 1.0-3
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cantarell-fonts 1:0.311-1
char-white r3.ef1c007-1
chromium 144.0.7559.96-1
chwd 1.18.0-3
ckb-next 0.6.2-2.1
cpupower 6.18-3
cryptsetup 2.8.3-1.1
deskflow 1.25.0-1.1
device-mapper 2.03.38-1.1
dhclient 4.4.3.P1-4.1
diffutils 3.12-2.1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.92-1.1
docker 1:29.1.4-1.1
docker-buildx 0.31.0-1.1
docker-compose 5.0.1-1.1
dolphin 25.12.1-1.1
dosfstools 4.2-5.1
duf 0.9.1-1.1
